"filename", "language", "TypeScript React", "SCSS", "TypeScript", "JSON with Comments", "Markdown", "JSON", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/lin/OdinProject/course-management-system/.eslintrc.json", "JSON with Comments", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/lin/OdinProject/course-management-system/.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/home/lin/OdinProject/course-management-system/README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 15, 35
"/home/lin/OdinProject/course-management-system/Step by Step.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 8, 30
"/home/lin/OdinProject/course-management-system/components/common/backTop.module.scss", "SCSS", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/home/lin/OdinProject/course-management-system/components/common/backTop.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/home/lin/OdinProject/course-management-system/components/common/debouncedSearchSelect.tsx", "TypeScript React", 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 53
"/home/lin/OdinProject/course-management-system/components/common/detailAboutInfo.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/home/lin/OdinProject/course-management-system/components/common/detailInfoCard.tsx", "TypeScript React", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/home/lin/OdinProject/course-management-system/components/common/editableText.tsx", "TypeScript React", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 94
"/home/lin/OdinProject/course-management-system/components/course/classScheduleTable.tsx", "TypeScript React", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/home/lin/OdinProject/course-management-system/components/course/courseCard.module.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/home/lin/OdinProject/course-management-system/components/course/courseCard.tsx", "TypeScript React", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 88
"/home/lin/OdinProject/course-management-system/components/course/courseDetailCard.module.scss", "SCSS", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/lin/OdinProject/course-management-system/components/course/courseDetailCard.tsx", "TypeScript React", 88, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 107
"/home/lin/OdinProject/course-management-system/components/course/courseDetailForm.module.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/lin/OdinProject/course-management-system/components/course/courseDetailForm.tsx", "TypeScript React", 389, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 407
"/home/lin/OdinProject/course-management-system/components/course/courseListScrollMode.module.scss", "SCSS", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/lin/OdinProject/course-management-system/components/course/courseListScrollMode.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"/home/lin/OdinProject/course-management-system/components/course/courseScheduleForm.tsx", "TypeScript React", 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 253
"/home/lin/OdinProject/course-management-system/components/home/header.tsx", "TypeScript React", 109, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 121
"/home/lin/OdinProject/course-management-system/components/layout/breadcrumb.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/home/lin/OdinProject/course-management-system/components/layout/dashboard-layout.module.scss", "SCSS", 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 7, 84
"/home/lin/OdinProject/course-management-system/components/layout/index.tsx", "TypeScript React", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 187
"/home/lin/OdinProject/course-management-system/components/layout/messageModal.tsx", "TypeScript React", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 161
"/home/lin/OdinProject/course-management-system/components/layout/sideMenu.tsx", "TypeScript React", 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 58
"/home/lin/OdinProject/course-management-system/components/message/messageHistoryList.tsx", "TypeScript React", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 208
"/home/lin/OdinProject/course-management-system/components/message/messageList.tsx", "TypeScript React", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 203
"/home/lin/OdinProject/course-management-system/components/statistics/bar.tsx", "TypeScript React", 99, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 111
"/home/lin/OdinProject/course-management-system/components/statistics/heat.tsx", "TypeScript React", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 142
"/home/lin/OdinProject/course-management-system/components/statistics/line.tsx", "TypeScript React", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"/home/lin/OdinProject/course-management-system/components/statistics/map.tsx", "TypeScript React", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 86
"/home/lin/OdinProject/course-management-system/components/statistics/overview.tsx", "TypeScript React", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 66
"/home/lin/OdinProject/course-management-system/components/statistics/pie.tsx", "TypeScript React", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
"/home/lin/OdinProject/course-management-system/components/student/studentModal.tsx", "TypeScript React", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 129
"/home/lin/OdinProject/course-management-system/components/student/studentTable.tsx", "TypeScript React", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 146
"/home/lin/OdinProject/course-management-system/components/teachers/teacherModal.tsx", "TypeScript React", 161, 0, 0, 0, 0, 0, 0, 0, 0, 10, 15, 186
"/home/lin/OdinProject/course-management-system/components/teachers/teacherTable.tsx", "TypeScript React", 128, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 134
"/home/lin/OdinProject/course-management-system/hooks/dataListLoad.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 11, 63
"/home/lin/OdinProject/course-management-system/lib/constants/common.ts", "TypeScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 13, 94
"/home/lin/OdinProject/course-management-system/lib/constants/course.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/lin/OdinProject/course-management-system/lib/constants/index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lin/OdinProject/course-management-system/lib/constants/navMenu.tsx", "TypeScript React", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 152
"/home/lin/OdinProject/course-management-system/lib/model/common.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/home/lin/OdinProject/course-management-system/lib/model/course.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 30, 181
"/home/lin/OdinProject/course-management-system/lib/model/index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/lin/OdinProject/course-management-system/lib/model/message.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/home/lin/OdinProject/course-management-system/lib/model/statistics.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 22, 126
"/home/lin/OdinProject/course-management-system/lib/model/student.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 11, 70
"/home/lin/OdinProject/course-management-system/lib/model/teacher.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 16, 75
"/home/lin/OdinProject/course-management-system/lib/model/user.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 17, 109
"/home/lin/OdinProject/course-management-system/lib/request/common.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 3, 11, 90
"/home/lin/OdinProject/course-management-system/lib/request/course.api.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 13, 79
"/home/lin/OdinProject/course-management-system/lib/request/index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/lin/OdinProject/course-management-system/lib/request/message.api.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/home/lin/OdinProject/course-management-system/lib/request/statistics.api.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/home/lin/OdinProject/course-management-system/lib/request/student.api.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"/home/lin/OdinProject/course-management-system/lib/request/teacher.api.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"/home/lin/OdinProject/course-management-system/lib/request/user.api.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/home/lin/OdinProject/course-management-system/lib/util/common.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/home/lin/OdinProject/course-management-system/lib/util/index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/lin/OdinProject/course-management-system/lib/util/menu.helper.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/home/lin/OdinProject/course-management-system/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/home/lin/OdinProject/course-management-system/next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 7, 46
"/home/lin/OdinProject/course-management-system/package-lock.json", "JSON", 0, 0, 0, 0, 0, 9214, 0, 0, 0, 0, 1, 9215
"/home/lin/OdinProject/course-management-system/package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/home/lin/OdinProject/course-management-system/pages/_app.tsx", "TypeScript React", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 86
"/home/lin/OdinProject/course-management-system/pages/api/hello.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/home/lin/OdinProject/course-management-system/pages/dashboard/index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/[id].tsx", "TypeScript React", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/add-course/index.tsx", "TypeScript React", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 90
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/detail.module.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/edit-course/index.tsx", "TypeScript React", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/courses/index.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/index.tsx", "TypeScript React", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 225
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/message/index.tsx", "TypeScript React", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/students/[id].tsx", "TypeScript React", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 152
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/students/index.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/teachers/[id].tsx", "TypeScript React", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 111
"/home/lin/OdinProject/course-management-system/pages/dashboard/manager/teachers/index.tsx", "TypeScript React", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/courses/[id].tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/courses/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/courses/own/index.tsx", "TypeScript React", 141, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 157
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/index.tsx", "TypeScript React", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 296
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/message/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/profile/index.tsx", "TypeScript React", 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 401
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/schedule/index.module.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/schedule/index.tsx", "TypeScript React", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 299
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/[id].tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/add-course/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/edit-course/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/index.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 189
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/index.tsx", "TypeScript React", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 121
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/message/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/profile/index.tsx", "TypeScript React", 609, 0, 0, 0, 0, 0, 0, 0, 0, 32, 44, 685
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/schedule/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/students/[id].tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/students/index.tsx", "TypeScript React", 134, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 148
"/home/lin/OdinProject/course-management-system/pages/events.tsx", "TypeScript React", 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 530
"/home/lin/OdinProject/course-management-system/pages/gallery.tsx", "TypeScript React", 523, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 534
"/home/lin/OdinProject/course-management-system/pages/index.tsx", "TypeScript React", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 314
"/home/lin/OdinProject/course-management-system/pages/login.tsx", "TypeScript React", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 112
"/home/lin/OdinProject/course-management-system/pages/register.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/lin/OdinProject/course-management-system/providers/messageContext.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/lin/OdinProject/course-management-system/providers/messageReducer.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 14, 140
"/home/lin/OdinProject/course-management-system/public/address.json", "JSON", 0, 0, 0, 0, 0, 5327, 0, 0, 0, 0, 1, 5328
"/home/lin/OdinProject/course-management-system/public/css/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1688, 0, 217, 331, 2236
"/home/lin/OdinProject/course-management-system/public/fonts/BebasNeueBold.svg", "XML", 0, 0, 0, 0, 0, 0, 5140, 0, 0, 0, 1, 5141
"/home/lin/OdinProject/course-management-system/public/fonts/BebasNeueBook.svg", "XML", 0, 0, 0, 0, 0, 0, 5190, 0, 0, 0, 1, 5191
"/home/lin/OdinProject/course-management-system/public/fonts/BebasNeueRegular.svg", "XML", 0, 0, 0, 0, 0, 0, 5151, 0, 0, 0, 1, 5152
"/home/lin/OdinProject/course-management-system/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/lin/OdinProject/course-management-system/styles/auth.module.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/lin/OdinProject/course-management-system/styles/globals.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/lin/OdinProject/course-management-system/styles/home.module.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/lin/OdinProject/course-management-system/tsconfig.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"Total", "-", 7751, 242, 1259, 24, 42, 14588, 15485, 1688, 29, 313, 1182, 42603